name,write_execute_size,number_total_entropy,max_total_entropy,min_total_entropy,delta_total_entropy,mean_total_entropy,median_total_entropy,variance_total_entropy,stdev_total_entropy,number_oep_section_entropy,max_oep_section_entropy,min_oep_section_entropy,delta_oep_section_entropy,mean_oep_section_entropy,median_oep_section_entropy,variance_oep_section_entropy,stdev_oep_section_entropy,initial_iat_dll,initial_iat_func,initial_iat_malicious_func,reconstructed_iat_dll,reconstructed_iat_func,reconstructed_iat_malicious_func,initial_iat_called_generic_func,initial_iat_called_malicious_func,initial_iat_called_all_func,dynamic_called_generic_func,dynamic_called_malicious_func,dynamic_called_all_func,discovered_called_generic_func,discovered_called_malicious_func,discovered_called_all_func,number_add_exec_permission,number_add_write_permisison,executed_byte_0,executed_byte_1,executed_byte_2,executed_byte_3,executed_byte_4,executed_byte_5,executed_byte_6,executed_byte_7,executed_byte_8,executed_byte_9,executed_byte_10,executed_byte_11,executed_byte_12,executed_byte_13,executed_byte_14,executed_byte_15,executed_byte_16,executed_byte_17,executed_byte_18,executed_byte_19,executed_byte_20,executed_byte_21,executed_byte_22,executed_byte_23,executed_byte_24,executed_byte_25,executed_byte_26,executed_byte_27,executed_byte_28,executed_byte_29,executed_byte_30,executed_byte_31,executed_byte_32,executed_byte_33,executed_byte_34,executed_byte_35,executed_byte_36,executed_byte_37,executed_byte_38,executed_byte_39,executed_byte_40,executed_byte_41,executed_byte_42,executed_byte_43,executed_byte_44,executed_byte_45,executed_byte_46,executed_byte_47,executed_byte_48,executed_byte_49,executed_byte_50,executed_byte_51,executed_byte_52,executed_byte_53,executed_byte_54,executed_byte_55,executed_byte_56,executed_byte_57,executed_byte_58,executed_byte_59,executed_byte_60,executed_byte_61,executed_byte_62,executed_byte_63,GetProcAddress,LoadLibrary,Exitprocess,GetModuleHandle,VirtualAlloc,VirtualFree,GetModuleFilename,CreateFile,RegQueryValueEx,MessageBox,GetCommandLine,VirtualProtect,GetStartupInfo,GetStdHandle,RegOpenKeyEx
892e30ac4fa125d635ceb44686a09cae9d2273b24bc879954241809b725c763d,-1,1490,7.909506213174455,3.1051102678455833,4.8043959453288725,4.965599078236292,5.562341879610373,0.6691993087480254,0.8180460309469298,1490,6.358274192814835,4.277975621535317,2.080298571279518,5.396087480339982,6.358274192814835,1.0761475304007215,1.0373753083627553,8,149,1,0,9,0,0,0,0,4,0,4,611,2,613,-1,-1,232,240,6,0,0,139,255,85,139,236,131,236,20,131,101,244,0,131,101,248,0,161,4,128,229,0,86,87,191,78,230,64,187,190,0,0,255,255,59,199,116,4,161,4,128,229,0,86,87,191,78,230,64,187,190,0,0,255,255,59,199,116,4,141,63,0,0,0,0,0,0,0,0,0,0,0,0,9,0
4d6ffdb9c2284b339103a293a94b37be7d7dc114e022fbcb101527b1bd7e7b8a,-1,153,7.388454677757384,0.2909842448189384,7.0974704329384455,1.293179354290728,0.3148343951896975,2.89042510409748,1.7001250260194043,42,7.61177345882627,6.612199348974091,0.9995741098521789,6.786639232697729,6.612199348974091,0.05648245806977528,0.23766038388796581,3,4,1,0,104,3,3,1,4,1,0,1,270,1,271,-1,-1,96,190,0,176,64,0,141,190,0,96,255,255,87,131,205,255,235,16,139,30,131,238,252,17,219,114,237,139,30,131,238,252,17,219,114,237,138,6,70,136,7,71,1,219,117,7,136,7,71,1,219,117,7,114,237,138,6,70,136,7,71,1,219,117,104,0,0,0,0,0,0,0,0,0,0,0,0,2,0
d9bed95674d8f25aba2b84067e0691d254c86d686a4ec42dec119a8a2b006c98,-1,1027,6.812526424571368,5.091811375938023,1.7207150486333456,6.374988208428065,6.431412915544037,0.023829218898451954,0.15436715615198707,735,6.708075396341129,4.189094534888829,2.5189808614522997,4.44823240614221,4.189094534888829,0.5355443570164994,0.7318089621045232,2,150,3,9,141,0,0,0,0,22,0,22,881,5,886,-1,-1,232,116,4,0,0,85,139,236,131,236,20,131,101,244,0,131,101,248,0,161,104,230,40,0,86,87,191,78,230,64,187,190,0,0,255,255,59,199,116,13,161,104,230,40,0,86,87,191,78,230,64,187,190,0,0,255,255,59,199,116,13,141,69,244,155,0,0,0,3,1,0,0,0,0,0,66,0,7,0
20ad54843f6b794f29cb2405c2e9c4e613bbe7d3a7471f1b2be4475061dc9e33,-1,1475,7.908498715295852,3.1256673380939333,4.782831377201918,5.017484348333516,5.659049709237146,0.7247153732611991,0.8513021633128857,1475,6.4366746141029125,4.344769693192594,2.091904920910318,5.459230846279145,6.4366746141029125,1.0895495391753867,1.0438148969886312,8,149,1,0,9,0,0,0,0,4,0,4,611,2,613,-1,-1,232,240,6,0,0,139,255,85,139,236,131,236,20,131,101,244,0,131,101,248,0,161,4,128,43,1,86,87,191,78,230,64,187,190,0,0,255,255,59,199,116,4,161,4,128,43,1,86,87,191,78,230,64,187,190,0,0,255,255,59,199,116,4,141,63,0,0,0,0,0,0,0,0,0,0,0,0,9,0
9436f223ea2d64468aca352ab4b8bb7ec1090c92d0e15456ddb8c6ca0711b377,-1,1527,7.908946075208539,3.1094950815220788,4.79945099368646,4.973813431517667,5.5579315920293215,0.6591351546696118,0.8118713904736463,1527,6.35760948544982,4.277975621535316,2.0796338639145038,5.419031158838523,6.35760948544982,1.0712659915945937,1.0350198025132629,8,149,1,0,9,0,0,0,0,4,0,4,611,2,613,-1,-1,232,240,6,0,0,139,255,85,139,236,131,236,20,131,101,244,0,131,101,248,0,161,4,128,17,0,86,87,191,78,230,64,187,190,0,0,255,255,59,199,116,4,161,4,128,17,0,86,87,191,78,230,64,187,190,0,0,255,255,59,199,116,4,141,63,0,0,0,0,0,0,0,0,0,0,0,0,9,0
70e7ec084e6084bd852862d80bcccce6cf855a72db24518bd2f768f0e80f9c43,-1,538,6.999531258259663,0.25785859759039054,6.7416726606692725,3.203352188391005,3.8558685388789646,2.156961103488084,1.46865962819439,432,6.645469164285495,5.8997727210418045,0.7456964432436903,5.914105284984965,5.911792772291318,0.0012646129546642175,0.03556139697290051,1,3,1,4,116,4,2,1,3,1,1,2,333,3,336,-1,-1,96,233,61,4,0,0,102,139,216,233,28,0,0,0,129,233,79,227,249,183,232,28,0,0,0,15,191,254,95,233,28,0,0,0,185,79,163,62,227,181,55,87,129,198,209,25,206,170,90,233,28,0,0,0,233,28,0,0,0,129,223,167,131,98,121,0,0,0,5,10,0,0,0,0,0,0,0,2,0
28b72070d6af0ef8d0bca993ab7a9997f95dad4b4b0963869d6962383f0647c0,-1,1502,7.913914665741273,3.0806838610494958,4.833230804691777,4.956438901122385,5.559457870355867,0.6812924068160229,0.8254043898696098,1502,6.359649424811239,4.277975621535315,2.0816738032759234,5.404523245297861,6.359649424811239,1.0763133920402943,1.0374552482108779,8,149,1,0,9,0,0,0,0,4,0,4,611,2,613,-1,-1,232,240,6,0,0,139,255,85,139,236,131,236,20,131,101,244,0,131,101,248,0,161,4,128,18,0,86,87,191,78,230,64,187,190,0,0,255,255,59,199,116,4,161,4,128,18,0,86,87,191,78,230,64,187,190,0,0,255,255,59,199,116,4,141,63,0,0,0,0,0,0,0,0,0,0,0,0,9,0
f4865aacbca098c07aea1e49efe9bf55dd13b0120b9f29cf49575532ede8ef04,-1,3849,6.280653278540288,2.0161693742098588,4.2644839043304295,5.974421875092914,6.246553665296467,0.6933867301566751,0.8326984629244101,3484,6.21439482800833,5.620038536670091,0.5943562913382392,6.205625076105047,6.21439482800833,0.005112452560193284,0.07150141649081705,7,138,5,2,101,0,62,4,66,6,0,6,503,4,507,-1,-1,85,139,236,131,196,164,83,86,87,51,192,137,69,196,137,69,192,137,69,164,137,69,208,137,69,200,137,69,204,137,69,212,137,69,216,137,69,236,184,240,16,75,0,232,176,114,245,255,83,139,216,51,192,163,20,124,75,0,106,0,232,219,249,255,103,0,0,0,8,6,0,0,0,0,0,16,0,3,0
797d23f319c53649760e9d3153b48442dc0b5b9abc959c3e4b1b4f53be6d1d8e,-1,2,5.1469584244059305,3.7561134441758046,1.390844980230126,4.451535934290868,4.451535934290868,0.9672248795156697,0.9834759170999917,2,5.086804616884505,5.086804616884505,0.0,5.086804616884505,5.086804616884505,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,142,1,143,-1,-1,104,134,18,64,0,232,123,13,0,0,255,37,128,49,64,0,255,37,128,49,64,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
c6714dab5a5a0ad0af84c32d4b4d5bc7f41a82e413afff6b19d531e536fb2927,-1,1861,6.387195988361357,1.5458836569023282,4.841312331459029,5.762914544797947,6.387112648785571,1.6277804591724414,1.2758449980982962,1475,6.496075378237479,4.572099635249042,1.9239757429884365,6.455447414016346,6.459524836932232,0.007300745393230685,0.08544439942577094,7,316,4,0,112,0,181,3,184,21,0,21,865,2,867,-1,-1,85,139,236,131,196,244,83,184,176,239,67,0,232,207,98,252,255,80,106,0,232,248,254,255,255,255,37,196,33,68,0,186,160,0,68,0,82,137,5,184,20,68,0,137,66,4,232,152,255,255,255,137,66,4,232,152,255,255,255,137,66,4,232,152,149,0,0,0,10,0,0,0,0,0,0,0,0,5,0
