name,write_execute_size,number_total_entropy,max_total_entropy,min_total_entropy,delta_total_entropy,mean_total_entropy,median_total_entropy,variance_total_entropy,stdev_total_entropy,number_oep_section_entropy,max_oep_section_entropy,min_oep_section_entropy,delta_oep_section_entropy,mean_oep_section_entropy,median_oep_section_entropy,variance_oep_section_entropy,stdev_oep_section_entropy,initial_iat_dll,initial_iat_func,initial_iat_malicious_func,reconstructed_iat_dll,reconstructed_iat_func,reconstructed_iat_malicious_func,initial_iat_called_generic_func,initial_iat_called_malicious_func,initial_iat_called_all_func,dynamic_called_generic_func,dynamic_called_malicious_func,dynamic_called_all_func,discovered_called_generic_func,discovered_called_malicious_func,discovered_called_all_func,number_add_exec_permission,number_add_write_permisison,executed_byte_0,executed_byte_1,executed_byte_2,executed_byte_3,executed_byte_4,executed_byte_5,executed_byte_6,executed_byte_7,executed_byte_8,executed_byte_9,executed_byte_10,executed_byte_11,executed_byte_12,executed_byte_13,executed_byte_14,executed_byte_15,executed_byte_16,executed_byte_17,executed_byte_18,executed_byte_19,executed_byte_20,executed_byte_21,executed_byte_22,executed_byte_23,executed_byte_24,executed_byte_25,executed_byte_26,executed_byte_27,executed_byte_28,executed_byte_29,executed_byte_30,executed_byte_31,executed_byte_32,executed_byte_33,executed_byte_34,executed_byte_35,executed_byte_36,executed_byte_37,executed_byte_38,executed_byte_39,executed_byte_40,executed_byte_41,executed_byte_42,executed_byte_43,executed_byte_44,executed_byte_45,executed_byte_46,executed_byte_47,executed_byte_48,executed_byte_49,executed_byte_50,executed_byte_51,executed_byte_52,executed_byte_53,executed_byte_54,executed_byte_55,executed_byte_56,executed_byte_57,executed_byte_58,executed_byte_59,executed_byte_60,executed_byte_61,executed_byte_62,executed_byte_63,GetProcAddress,LoadLibrary,Exitprocess,GetModuleHandle,VirtualAlloc,VirtualFree,GetModuleFilename,CreateFile,RegQueryValueEx,MessageBox,GetCommandLine,VirtualProtect,GetStartupInfo,GetStdHandle,RegOpenKeyEx
m2cdm.exe,-1,490,6.339241120933369,1.9002047062527905,4.439036414680578,4.27304541019014,5.462201288459839,2.909833390032502,1.7058233759778596,30,5.939114277257506,5.637734472859733,0.3013798043977731,5.6550615671723135,5.647663246722444,0.0028962659547758242,0.053816967164415946,3,68,2,1,65,0,20,2,22,1,0,1,303,1,304,-1,-1,85,137,229,83,131,236,20,139,21,12,130,65,0,139,69,12,131,58,3,118,49,131,61,232,32,65,0,2,116,10,199,5,232,32,65,0,2,0,0,0,131,248,2,15,132,5,1,0,0,131,248,1,15,132,158,0,0,0,139,69,16,199,68,36,65,0,0,0,0,0,0,0,0,0,0,0,0,2,0
P.exe,-1,3893,6.296003473164224,4.261476465720512,2.034527007443712,5.16212017308101,4.962461169744538,0.10548580140754167,0.32478577771746975,2626,6.586756997025276,6.11799377469949,0.46876322232578627,6.118172283161914,6.11799377469949,8.367820205836045e-05,0.009147579027172186,7,159,2,1,125,0,0,0,0,20,0,20,683,2,685,-1,-1,232,21,119,0,0,85,139,236,131,236,20,131,101,244,0,131,101,248,0,161,48,161,205,0,86,87,191,78,230,64,187,190,0,0,255,255,59,199,116,13,161,48,161,205,0,86,87,191,78,230,64,187,190,0,0,255,255,59,199,116,13,141,69,244,166,0,0,0,0,0,0,0,0,0,0,0,0,11,0
sparkle.exe,-1,6640,5.928296479256829,2.388547715035146,3.539748764221683,4.543210583544047,4.503906926427192,0.1658643218853481,0.40726443729516587,313,5.898577162325775,5.880081085369293,0.01849607695648192,5.89851806942815,5.898577162325775,1.0929867820450527e-06,0.0010454600815167706,11,134,2,1,170,0,32,2,34,5,0,5,525,3,528,-1,-1,83,131,236,24,131,61,208,112,64,0,2,139,68,36,36,116,10,131,61,208,112,64,0,2,139,68,36,36,116,10,131,248,2,116,17,131,248,1,116,59,139,68,36,40,199,68,36,4,1,0,0,0,137,68,36,8,139,68,36,32,137,4,36,232,358,0,0,0,0,0,0,0,0,0,0,28,0,5,0
cml-explorer.exe,-1,6644,5.941712325654852,1.7894499834914366,4.152262342163416,4.439859295502931,4.445573360989181,0.18853226769836345,0.4342030258972909,312,5.901356068882216,5.209136748810515,0.6922193200717013,5.211355400477411,5.209136748810515,0.001535793548335027,0.03918920193541873,13,193,2,1,170,0,34,2,36,5,0,5,522,3,525,-1,-1,83,131,236,24,131,61,16,180,64,0,2,139,68,36,36,116,10,131,61,16,180,64,0,2,139,68,36,36,116,10,131,248,2,116,17,131,248,1,116,59,139,68,36,40,199,68,36,4,1,0,0,0,137,68,36,8,139,68,36,32,137,4,36,232,358,0,0,0,0,0,0,0,0,0,0,28,0,5,0
cartoon.exe,-1,6575,5.832915825056661,2.2685816521005795,3.5643341729560816,2.7997352386525884,2.3357517930798473,1.0080641136373294,1.004023960688852,260,5.9188938462097545,5.8448562405170925,0.07403760569266193,5.845141000538987,5.8448562405170925,2.1082950218084947e-05,0.004591617385854896,11,116,2,1,170,0,34,2,36,5,0,5,522,3,525,-1,-1,83,131,236,24,131,61,48,80,64,0,2,139,68,36,36,116,10,131,61,48,80,64,0,2,139,68,36,36,116,10,131,248,2,116,17,131,248,1,116,59,139,68,36,40,199,68,36,4,1,0,0,0,137,68,36,8,139,68,36,32,137,4,36,232,358,0,0,0,0,0,0,0,0,0,0,28,0,5,0
sync.exe,-1,3672,6.189978821651419,2.918908463500039,3.27107035815138,5.761752219806358,6.067059482890957,0.28752878924809383,0.5362171101784181,2612,6.587111660014275,6.481209770322245,0.10590188969203052,6.481250314690427,6.481209770322245,4.293725206869448e-06,0.002072130595997619,6,105,2,0,121,0,0,0,0,20,0,20,682,2,684,-1,-1,232,161,89,0,0,85,139,236,131,236,20,131,101,244,0,131,101,248,0,161,72,227,6,0,86,87,191,78,230,64,187,190,0,0,255,255,59,199,116,13,161,72,227,6,0,86,87,191,78,230,64,187,190,0,0,255,255,59,199,116,13,141,69,244,160,0,0,0,0,0,0,0,0,0,0,0,0,11,0
Autoruns.exe,-1,4027,6.199965099751976,2.4570527273370204,3.742912372414956,4.8519733535732446,5.280830229955394,0.4541516473636736,0.6739077439558575,2560,6.416795548752982,6.320663050740836,0.09613249801214607,6.3207006024978725,6.320663050740836,3.609944208615339e-06,0.0018999853179999416,15,372,2,1,121,0,0,0,0,17,0,17,702,2,704,-1,-1,232,34,166,0,0,85,139,236,131,236,20,131,101,244,0,131,101,248,0,161,240,204,69,0,86,87,191,78,230,64,187,190,0,0,255,255,59,199,116,13,161,240,204,69,0,86,87,191,78,230,64,187,190,0,0,255,255,59,199,116,13,141,69,244,126,0,0,0,0,0,0,0,0,0,0,0,0,8,0
TSWbPrxy.exe,-1,2393,6.244554140970422,4.750255382533617,1.4942987584368046,5.839260616115492,6.2442760973355895,0.305711848407308,0.5529121525227203,2393,6.319763552418606,5.396404156773834,0.9233593956447717,6.03228093772313,6.319763552418606,0.15674490694365345,0.3959102258639621,6,115,1,1,73,0,0,0,0,1,0,1,618,2,620,-1,-1,232,145,13,0,0,139,255,85,139,236,131,236,16,161,96,160,45,0,131,101,248,0,131,101,252,0,83,87,191,78,230,64,187,187,0,0,255,255,59,199,116,13,161,96,160,45,0,131,101,248,0,131,101,252,0,83,87,191,78,230,64,187,187,0,73,0,0,0,0,0,0,0,0,0,0,0,0,3,0
file-tga.exe,-1,6557,5.780001827815446,2.2342139642813237,3.5457878635341222,2.9182665404904697,2.490741534542747,0.8840776464183044,0.9402540329178622,242,6.121897088090717,5.896836770239268,0.2250603178514483,6.120967086777281,6.121897088090717,0.00020930639120411132,0.014467425175341718,10,125,2,1,170,0,32,2,34,5,0,5,521,3,524,-1,-1,83,131,236,24,131,61,48,80,64,0,2,139,68,36,36,116,10,131,61,48,80,64,0,2,139,68,36,36,116,10,131,248,2,116,17,131,248,1,116,59,139,68,36,40,199,68,36,4,1,0,0,0,137,68,36,8,139,68,36,32,137,4,36,232,358,0,0,0,0,0,0,0,0,0,0,28,0,5,0
DarkNamer.exe,-1,4020,5.520405634516802,2.7267300386296425,2.7936755958871595,5.065928006243899,5.381027206221064,0.3105494156488019,0.5572696076844689,2846,5.997213983064443,5.608902592753952,0.38831139031049045,5.609658923536561,5.608902592753952,0.000234760936989827,0.015321910357061453,6,61,0,4,100,0,28,0,28,19,0,19,863,2,865,-1,-1,85,139,236,106,255,104,168,201,64,0,104,58,169,64,0,100,161,0,0,0,0,80,100,137,37,0,0,0,0,131,236,104,83,86,87,137,101,232,51,219,137,93,252,106,2,95,87,255,21,124,195,64,0,89,131,13,88,250,64,0,255,131,13,92,137,0,0,0,0,0,0,0,0,0,0,0,0,6,0
