name,write_execute_size,number_total_entropy,max_total_entropy,min_total_entropy,delta_total_entropy,mean_total_entropy,median_total_entropy,variance_total_entropy,stdev_total_entropy,number_oep_section_entropy,max_oep_section_entropy,min_oep_section_entropy,delta_oep_section_entropy,mean_oep_section_entropy,median_oep_section_entropy,variance_oep_section_entropy,stdev_oep_section_entropy,initial_iat_dll,initial_iat_func,initial_iat_malicious_func,reconstructed_iat_dll,reconstructed_iat_func,reconstructed_iat_malicious_func,initial_iat_called_generic_func,initial_iat_called_malicious_func,initial_iat_called_all_func,dynamic_called_generic_func,dynamic_called_malicious_func,dynamic_called_all_func,discovered_called_generic_func,discovered_called_malicious_func,discovered_called_all_func,number_add_exec_permission,number_add_write_permisison,executed_byte_0,executed_byte_1,executed_byte_2,executed_byte_3,executed_byte_4,executed_byte_5,executed_byte_6,executed_byte_7,executed_byte_8,executed_byte_9,executed_byte_10,executed_byte_11,executed_byte_12,executed_byte_13,executed_byte_14,executed_byte_15,executed_byte_16,executed_byte_17,executed_byte_18,executed_byte_19,executed_byte_20,executed_byte_21,executed_byte_22,executed_byte_23,executed_byte_24,executed_byte_25,executed_byte_26,executed_byte_27,executed_byte_28,executed_byte_29,executed_byte_30,executed_byte_31,executed_byte_32,executed_byte_33,executed_byte_34,executed_byte_35,executed_byte_36,executed_byte_37,executed_byte_38,executed_byte_39,executed_byte_40,executed_byte_41,executed_byte_42,executed_byte_43,executed_byte_44,executed_byte_45,executed_byte_46,executed_byte_47,executed_byte_48,executed_byte_49,executed_byte_50,executed_byte_51,executed_byte_52,executed_byte_53,executed_byte_54,executed_byte_55,executed_byte_56,executed_byte_57,executed_byte_58,executed_byte_59,executed_byte_60,executed_byte_61,executed_byte_62,executed_byte_63,GetProcAddress,LoadLibrary,Exitprocess,GetModuleHandle,VirtualAlloc,VirtualFree,GetModuleFilename,CreateFile,RegQueryValueEx,MessageBox,GetCommandLine,VirtualProtect,GetStartupInfo,GetStdHandle,RegOpenKeyEx
nspack_Winobj.exe,-1,2372,7.95990034482763,2.9528478379906153,5.007052506837015,6.111027268902136,6.693010507598528,1.949560026390728,1.396266459666896,2016,6.723701873804835,0.8832903038956484,5.840411569909186,6.01331315063835,6.127271896111682,0.35187154329466874,0.593187612222869,8,13,4,1,286,4,1,4,5,20,0,20,696,4,700,-1,-1,233,132,11,12,0,156,96,232,0,0,0,0,93,184,7,0,0,0,43,232,141,181,60,253,255,255,139,6,131,248,0,116,17,199,6,1,0,0,0,139,213,139,133,248,252,255,255,43,208,137,149,248,252,255,255,1,149,40,253,255,255,141,181,108,302,0,0,0,4,4,0,0,0,0,0,4,0,5,0
fsg_DDConfigCA.exe,-1,2726,7.914460127510411,3.5298327487247123,4.384627378785699,6.759313315562746,6.970058577589391,0.3502219694904552,0.5917955470350003,2560,4.632657785556455,0.8186036586254314,3.814054126931023,0.828959842188901,0.8274786268566322,0.005656064812701136,0.07520681360555795,1,2,1,6,162,2,1,1,2,1,0,1,399,2,401,-1,-1,187,208,1,64,0,191,0,16,64,0,190,126,67,66,0,83,232,10,0,0,0,252,178,128,164,106,2,91,255,20,36,164,106,2,91,255,20,36,2,210,117,5,138,22,70,18,210,195,115,247,51,201,255,20,36,2,210,117,5,195,115,24,51,192,167,0,0,0,0,0,0,0,0,0,0,0,0,6,0
pecompact_du.exe,-1,4131,7.942364243188887,4.555110941543287,3.3872533016456003,6.405070493804962,6.4001639263279015,0.5192998647272068,0.7206246351098516,3611,7.997075519928012,4.516868569742915,3.4802069501850976,6.618619160884775,6.5299745066464725,0.426693150972605,0.6532175372512629,1,4,3,0,208,3,0,0,0,4,0,4,409,6,415,-1,-1,184,40,194,204,0,80,100,255,53,0,0,0,0,100,137,37,0,0,0,0,51,192,137,8,80,69,67,111,109,112,97,184,173,175,204,240,141,136,158,18,0,16,137,65,1,139,84,36,4,139,82,12,198,2,233,131,194,5,43,202,137,74,252,51,252,0,0,0,3,2,0,0,0,0,0,4,0,11,0
expressor_whois.exe,-1,2766,7.930824769139066,4.167181115502797,3.7636436536362687,5.919366964085219,6.033643565585737,0.1986692203971051,0.4457232553918464,2599,6.4146747065312395,6.137827900551575,0.27684680597966427,6.1676541665696965,6.170346931355466,5.020735597406936e-05,0.007085714923285396,7,18,4,0,92,0,8,1,9,20,0,20,604,1,605,-1,-1,85,139,236,129,236,132,2,0,0,83,86,87,131,165,168,253,255,255,0,243,235,12,161,0,80,67,0,5,0,80,67,0,163,4,80,67,0,161,4,80,67,0,131,120,112,0,117,20,163,4,80,67,0,161,4,80,67,0,131,120,112,0,117,20,127,0,0,0,0,0,0,0,0,0,0,0,0,5,0
fsg_PEview.exe,-1,3532,7.726771268460277,3.1918117573216223,4.534959511138656,7.025787063771281,7.223753023937546,0.3564353142424159,0.597022038322218,3372,4.612646250179837,0.8161022167033543,3.7965440334764824,0.8263018034243765,0.8251812856617551,0.004254149966904506,0.06522384507911586,1,2,1,9,185,2,1,1,2,18,0,18,683,1,684,-1,-1,252,178,128,164,106,2,91,255,20,36,164,106,2,91,255,20,36,2,210,117,5,138,22,70,18,210,195,115,247,164,106,2,91,255,20,36,2,210,117,5,195,115,247,51,201,255,20,36,2,210,117,5,195,115,24,51,192,255,20,36,2,210,117,5,196,0,0,0,0,0,0,0,0,0,0,0,0,2,0
aspack_PEViewer.exe,-1,23351,7.93205271418053,3.68075142052199,4.251301293658541,6.954632501900651,6.460946089484899,0.9041991371165851,0.9508938621721065,23349,6.264383432730089,5.721564149830716,0.542819282899373,5.758441960059083,5.771069116748083,0.0021211342059506487,0.04605577277552347,11,13,1,0,737,5,6,1,7,26,0,26,788,4,792,-1,-1,96,232,3,0,0,0,93,69,85,195,235,4,232,1,0,0,0,93,187,237,255,255,255,3,221,129,235,0,16,24,0,131,189,136,4,0,0,0,137,157,136,4,0,0,15,133,203,3,0,0,137,157,136,4,0,0,15,133,203,3,0,0,141,133,820,0,0,0,25,8,0,0,0,0,0,8,0,8,0
upx_HWMonitorPro_x32.exe,-1,4422,7.770383175542706,3.1647697106080255,4.605613464934681,4.859218508761072,5.022221032669022,1.34316503297405,1.158949970004767,3311,7.888273673338585,5.288254452223448,2.6000192211151365,6.059568613614191,5.288254452223448,1.1708661055628216,1.0820656660123829,12,14,2,1,269,1,0,0,0,4,0,4,708,4,712,-1,-1,96,190,0,96,106,0,141,190,0,176,250,255,87,235,11,139,30,131,238,252,17,219,114,237,139,30,131,238,252,17,219,114,237,138,6,70,136,7,71,1,219,117,7,136,7,71,1,219,117,7,114,237,138,6,70,136,7,71,1,219,117,7,114,237,280,0,0,0,1,0,0,0,0,0,0,2,0,2,0
nspack_efsdump.exe,-1,1247,7.9667519046970945,2.3480972515575895,5.6186546531395045,6.256080159552932,6.281736395232253,0.2923197112122438,0.540665988584675,1006,6.633130279671655,0.38791343002849654,6.245216849643159,5.612288921615962,5.632476745654192,0.4330723945699087,0.6580823615398825,5,10,4,2,165,4,3,4,7,19,0,19,659,4,663,-1,-1,233,48,66,2,0,156,96,232,0,0,0,0,93,184,7,0,0,0,43,232,141,181,4,254,255,255,139,6,131,248,0,116,17,199,6,1,0,0,0,139,213,139,133,192,253,255,255,43,208,137,149,192,253,255,255,1,149,240,253,255,255,141,181,52,211,0,0,0,8,4,0,0,0,0,0,4,0,8,0
rlpack_PLINK_32.exe,-1,1599,7.975105649604325,1.6364441284236686,6.338661521180656,6.03498656564717,6.814058966898961,3.402794755581755,1.8446665702998346,1599,7.979461764277015,2.6635813099276473,5.315880454349367,6.635045324071459,7.834269202769384,4.137820099237243,2.0341632430159686,3,7,4,1,209,2,1,4,5,1,0,1,360,5,365,-1,-1,96,232,0,0,0,0,139,44,36,131,196,4,131,124,36,40,1,117,12,139,133,220,12,0,0,137,133,224,12,0,0,232,135,1,0,0,139,133,220,12,0,0,137,133,224,12,0,0,232,135,1,0,0,137,133,224,12,0,0,232,135,1,0,0,212,0,0,0,4,6,0,0,0,0,0,4,0,6,0
eronana_nltest.exe,-1,170,7.888335280324753,4.3885917256789515,3.499743554645802,4.431308219516349,4.3885917256789515,0.11251216190840667,0.33542832603763006,3,7.917628910195646,6.755992545915129,1.1616363642805165,7.143204667341968,6.755992545915129,0.449799680939619,0.6706710676178144,1,4,3,0,0,0,0,0,0,0,0,0,140,1,141,-1,-1,96,104,0,112,5,1,232,23,252,255,255,85,139,236,131,236,72,139,77,8,83,86,87,139,65,8,141,81,44,137,85,192,106,4,104,0,16,0,0,141,52,194,139,65,24,139,0,137,69,188,139,65,28,139,0,137,69,184,139,65,32,139,16,139,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
exe32pack_noise-randomize.exe,-1,1066,6.84229178753605,2.4982984730543336,4.343993314481716,5.64058883878582,5.970446927139709,1.0698938466372785,1.0343567308415789,961,7.140201254366376,6.4515428487978586,0.6886584055685177,7.044288011247506,7.0590836329128495,0.009025075703961223,0.09500039844106561,10,2,1,1,290,2,1,1,2,5,0,5,544,3,547,-1,-1,59,192,116,2,85,59,192,116,2,83,59,201,116,1,86,59,210,116,2,87,232,0,0,0,0,59,219,116,1,93,139,213,129,237,236,58,64,0,59,228,116,2,43,149,253,59,64,0,129,234,44,0,0,0,128,189,56,60,64,0,0,116,24,59,479,0,0,0,0,0,0,0,0,0,0,25,0,5,0
themida_Everything.exe,-1,6710,7.960513678221799,2.132514348004238,5.827999330217562,6.633114646763263,6.991465192947708,1.2986753810573244,1.1395943932195018,6270,7.9578690404612615,4.803806810352703,3.1540622301085586,7.940441837411696,7.955460938577464,0.013710267700293773,0.11709085233396234,12,12,0,1,88,0,2,0,2,17,0,17,642,5,647,-1,-1,232,75,1,0,0,88,83,81,82,86,87,85,137,195,131,235,5,185,16,205,68,0,41,203,80,184,201,86,12,0,1,216,131,56,0,116,3,131,56,0,116,3,88,185,151,1,0,0,131,233,5,1,193,83,106,0,83,106,0,81,255,208,83,137,122,0,0,0,30,20,0,0,0,0,0,19,0,2,0
themida_FastHash_kr.exe,-1,5587,7.9527681865895365,3.2673455299800027,4.685422656609534,6.684972353304501,7.027832314466476,0.7936961056697144,0.8908962373193157,5187,7.9572717784314655,5.018053473645701,2.939218304785764,7.933434273249959,7.952815714991828,0.019192684584593472,0.13853766485903202,11,10,0,1,173,0,2,0,2,17,0,17,635,5,640,-1,-1,232,75,1,0,0,88,83,81,82,86,87,85,137,195,131,235,5,185,104,205,68,0,41,203,80,184,230,242,8,0,1,216,131,56,0,116,3,131,56,0,116,3,88,185,151,1,0,0,131,233,5,1,193,83,106,0,83,106,0,81,255,208,83,137,200,0,0,0,30,20,0,0,0,0,0,19,0,2,0
pecompact_psloglist.exe,-1,7217,7.964717006348165,4.806763171160564,3.157953835187601,6.449207485568938,6.410980357584095,0.31490783496830216,0.5611664948732258,6698,7.997353368564283,5.711649802150496,2.285703566413787,6.589451929113773,6.454511452920562,0.23103121887822875,0.48065706993471835,1,4,3,8,265,5,1,3,4,20,0,20,695,4,699,-1,-1,184,216,1,67,0,80,100,255,53,0,0,0,0,100,137,37,0,0,0,0,51,192,137,8,80,69,67,111,109,112,97,184,93,239,66,240,141,136,158,18,0,16,137,65,1,139,84,36,4,139,82,12,198,2,233,131,194,5,43,202,137,74,252,51,324,0,0,0,6,4,0,0,0,0,0,4,0,8,0
enigmavb_LoadOrd.exe,-1,965,6.693258637559519,3.634499578584599,3.0587590589749203,6.028749667719976,6.561783657835893,0.6549407261956391,0.809284082504802,1,6.623333025696525,6.623333025696525,0.0,-1.0,-1.0,-1.0,-1.0,8,170,5,5,366,2,84,5,89,21,0,21,701,4,705,-1,-1,85,139,236,131,196,196,184,88,255,69,0,232,220,12,253,255,186,160,16,70,0,131,125,12,1,117,42,80,82,198,5,100,70,70,0,1,139,77,8,137,13,104,70,70,0,137,74,4,199,66,8,0,0,0,0,199,66,12,0,0,0,0,232,193,452,0,0,0,30,34,0,0,0,0,0,520,0,11,0
aspack_ldmdump.exe,-1,8927,7.8858713193905405,3.817400536218205,4.0684707831723355,5.677668547457057,5.807967468776782,0.36848800743282994,0.6070321304781403,8927,5.903119883203472,3.817400536218205,2.0857193469852673,3.8384027838417696,3.839889848092682,0.0004978334181223074,0.02231218093603374,5,7,1,3,165,5,4,1,5,19,0,19,662,4,666,-1,-1,96,232,3,0,0,0,93,69,85,195,235,4,232,1,0,0,0,93,187,237,255,255,255,3,221,129,235,0,80,2,0,131,189,136,4,0,0,0,137,157,136,4,0,0,15,133,203,3,0,0,137,157,136,4,0,0,15,133,203,3,0,0,141,133,213,0,0,0,6,4,0,0,0,0,0,5,0,8,0
eronana_blur-gauss.exe,-1,7308,7.564178191343158,2.311492336212415,5.252685855130743,6.7565075934698715,6.844374911071291,0.47813502334264746,0.6914730821533456,7146,7.856836853310678,7.117339072210771,0.7394977810999066,7.836768933866841,7.856836853310678,0.013066004922973593,0.11430662676753957,1,4,3,12,293,2,1,3,4,5,0,5,556,5,561,-1,-1,96,104,0,32,65,0,232,23,252,255,255,85,139,236,131,236,72,139,77,8,83,86,87,139,65,8,141,81,44,137,85,192,106,4,104,0,16,0,0,141,52,194,139,65,24,139,0,137,69,188,139,65,28,139,0,137,69,184,139,65,32,139,16,139,481,0,0,0,8,8,0,0,0,0,0,14,0,5,0
molebox_Kalmuri.exe,-1,715,7.9195241010119215,3.3713619391533647,4.548162161858556,5.399345325294094,5.58704329211712,0.5221936038285252,0.7226296449970242,429,7.892043779905589,6.378518385003093,1.513525394902496,6.675301001317589,6.386348527753596,0.23739302292050404,0.48722994871056935,2,21,1,0,186,4,5,1,6,38,1,39,580,2,582,-1,-1,232,0,0,0,0,96,232,79,0,0,0,232,110,251,255,255,232,235,251,255,255,85,139,236,131,236,112,86,87,106,0,255,21,24,208,86,0,137,69,232,104,64,212,0,0,106,64,255,21,20,208,86,0,137,69,248,139,69,12,45,250,3,0,0,191,0,0,0,3,3,0,0,0,0,0,0,0,2,0
aspack_Winobj.exe,-1,6345,7.619157040956029,2.3533688769034815,5.265788164052548,4.541214390329061,4.5505291294936345,4.611589106625745,2.147461083844302,6185,6.505543484905359,5.641947773806118,0.8635957110992409,5.6566919876728505,5.656851282209843,0.00013376931085591075,0.011565868357192673,8,10,1,1,287,5,2,1,3,20,0,20,698,4,702,-1,-1,96,232,3,0,0,0,93,69,85,195,235,4,232,1,0,0,0,93,187,237,255,255,255,3,221,129,235,0,224,11,0,131,189,136,4,0,0,0,137,157,136,4,0,0,15,133,203,3,0,0,137,157,136,4,0,0,15,133,203,3,0,0,141,133,305,0,0,0,5,5,0,0,0,0,0,5,0,5,0
alienyze_Hash.exe,-1,3588,6.8495910110937785,2.289430086085976,4.560160925007803,4.722810751363901,4.885030819605365,0.397350775515179,0.6303576568228382,3363,6.877352712128006,5.385559770307235,1.491792941820771,5.386003360239385,5.385559770307235,0.000661744329844267,0.02572439172933477,0,0,0,2,86,0,0,0,0,17,0,17,641,2,643,-1,-1,85,139,236,129,236,96,1,0,0,83,86,100,161,48,0,0,0,137,133,112,255,255,255,139,141,112,255,255,255,139,81,12,137,85,172,139,69,172,139,72,12,139,81,40,137,85,204,199,69,176,0,0,0,0,199,69,148,0,0,0,0,139,69,176,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0
pecompact_ShellRunas.exe,-1,5443,7.8497694940785046,4.904600213101765,2.9451692809767396,6.24352024977922,5.9772728040039,0.23100665446860758,0.48063151630808354,4928,7.993519288383903,4.851817821065766,3.1417014673181365,6.226353627846138,5.899580918638831,0.24652096993503805,0.4965087813272169,1,4,3,7,235,5,1,3,4,20,0,20,702,4,706,-1,-1,184,96,157,65,0,80,100,255,53,0,0,0,0,100,137,37,0,0,0,0,51,192,137,8,80,69,67,111,109,112,97,184,229,138,65,240,141,136,158,18,0,16,137,65,1,139,84,36,4,139,82,12,198,2,233,131,194,5,43,202,137,74,252,51,272,0,0,0,6,4,0,0,0,0,0,4,0,5,0
