name,write_execute_size,number_total_entropy,max_total_entropy,min_total_entropy,delta_total_entropy,mean_total_entropy,median_total_entropy,variance_total_entropy,stdev_total_entropy,number_oep_section_entropy,max_oep_section_entropy,min_oep_section_entropy,delta_oep_section_entropy,mean_oep_section_entropy,median_oep_section_entropy,variance_oep_section_entropy,stdev_oep_section_entropy,initial_iat_dll,initial_iat_func,initial_iat_malicious_func,reconstructed_iat_dll,reconstructed_iat_func,reconstructed_iat_malicious_func,initial_iat_called_generic_func,initial_iat_called_malicious_func,initial_iat_called_all_func,dynamic_called_generic_func,dynamic_called_malicious_func,dynamic_called_all_func,discovered_called_generic_func,discovered_called_malicious_func,discovered_called_all_func,number_add_exec_permission,number_add_write_permisison,executed_byte_0,executed_byte_1,executed_byte_2,executed_byte_3,executed_byte_4,executed_byte_5,executed_byte_6,executed_byte_7,executed_byte_8,executed_byte_9,executed_byte_10,executed_byte_11,executed_byte_12,executed_byte_13,executed_byte_14,executed_byte_15,executed_byte_16,executed_byte_17,executed_byte_18,executed_byte_19,executed_byte_20,executed_byte_21,executed_byte_22,executed_byte_23,executed_byte_24,executed_byte_25,executed_byte_26,executed_byte_27,executed_byte_28,executed_byte_29,executed_byte_30,executed_byte_31,executed_byte_32,executed_byte_33,executed_byte_34,executed_byte_35,executed_byte_36,executed_byte_37,executed_byte_38,executed_byte_39,executed_byte_40,executed_byte_41,executed_byte_42,executed_byte_43,executed_byte_44,executed_byte_45,executed_byte_46,executed_byte_47,executed_byte_48,executed_byte_49,executed_byte_50,executed_byte_51,executed_byte_52,executed_byte_53,executed_byte_54,executed_byte_55,executed_byte_56,executed_byte_57,executed_byte_58,executed_byte_59,executed_byte_60,executed_byte_61,executed_byte_62,executed_byte_63,GetProcAddress,LoadLibrary,Exitprocess,GetModuleHandle,VirtualAlloc,VirtualFree,GetModuleFilename,CreateFile,RegQueryValueEx,MessageBox,GetCommandLine,VirtualProtect,GetStartupInfo,GetStdHandle,RegOpenKeyEx
a04d4b69da9ab985c3aa68274c5836eb,-1,1334,7.7658284834718945,2.6913821104525706,5.074446373019324,5.821387588531914,6.611204599766572,2.4244143846272004,1.557053109122229,1099,7.802753077937048,5.934576101867375,1.8681769760696731,6.632434365272628,6.6702619345865495,0.2796809450679257,0.528848697708452,8,96,1,5,104,0,63,2,65,4,0,4,724,1,725,-1,-1,85,139,236,86,104,4,1,0,0,104,8,164,66,0,51,246,86,255,21,144,64,64,0,106,1,255,21,172,64,64,0,232,55,12,0,0,85,139,236,81,83,86,87,106,16,88,232,22,16,0,0,255,37,128,65,64,0,139,196,133,192,116,17,104,108,0,0,0,0,0,0,0,0,0,0,0,0,2,0
a099e48952fd0bd2187e0e05bd58f390,-1,579,6.162642952408046,3.6834159294436923,2.4792270229643534,4.9479678168654,4.149483397189047,1.1546358500284042,1.0745398317551584,266,6.48160324964671,4.202887850001238,2.2787153996454723,6.455705113469088,6.48160324964671,0.05811482704573087,0.24107017037728012,4,50,4,1,85,0,25,3,28,17,0,17,656,3,659,-1,-1,85,139,236,51,201,81,81,81,81,81,81,81,81,83,86,87,184,8,63,64,0,232,106,254,255,255,80,106,0,232,248,254,255,255,255,37,112,113,64,0,186,160,80,64,0,82,137,5,196,100,64,0,137,66,4,199,66,8,0,0,0,0,199,66,89,0,0,0,8,4,0,0,0,0,0,0,0,2,0
a082a6afd896b15459caf2d9e708c10c,-1,521,4.947516786968408,0.0,4.947516786968408,2.8338449829179364,3.145005581181563,2.499044555046472,1.5808366629878217,96,6.087171417180899,5.131358637328586,0.9558127798523133,6.077215034057438,6.087171417180899,0.009516438230510486,0.09755223334455489,8,84,1,1,94,0,2,0,2,21,0,21,653,2,655,-1,-1,85,139,236,106,255,104,152,49,64,0,104,48,38,64,0,100,161,0,0,0,0,80,100,137,37,0,0,0,0,131,236,104,83,86,87,137,101,232,51,219,137,93,252,106,2,255,21,248,48,64,0,89,131,13,24,69,64,0,255,131,13,28,69,64,129,0,0,0,0,0,0,0,0,0,0,0,0,5,0
a03c0e31b0accce3e00300cbe0d6d52e,-1,521,4.9481607659117905,0.0,4.9481607659117905,2.8343421913452698,3.145005581181563,2.4997699052341993,1.5810660660561275,96,6.087171417180899,5.131358637328586,0.9558127798523133,6.077215034057438,6.087171417180899,0.009516438230510486,0.09755223334455489,8,84,1,1,94,0,2,0,2,21,0,21,653,2,655,-1,-1,85,139,236,106,255,104,152,49,64,0,104,48,38,64,0,100,161,0,0,0,0,80,100,137,37,0,0,0,0,131,236,104,83,86,87,137,101,232,51,219,137,93,252,106,2,255,21,248,48,64,0,89,131,13,24,69,64,0,255,131,13,28,69,64,129,0,0,0,0,0,0,0,0,0,0,0,0,5,0
a0125a0dc1863b0217b020348825cdb8,-1,4834,7.7402317334119335,1.0263359864247028,6.71389574698723,4.1851442844693345,4.260300299010648,0.23308388486354156,0.48278761879685933,4620,7.290039913802156,2.529754827820937,4.760285085981218,2.5307851925581626,2.529754827820937,0.0049048298917348946,0.07003449072946054,2,4,1,0,65,0,3,1,4,1,0,1,269,3,272,-1,-1,141,5,192,211,72,0,141,13,236,209,72,0,141,21,20,211,72,0,141,61,32,209,72,0,232,227,160,8,0,255,37,16,192,72,0,106,64,104,0,48,0,0,104,0,68,1,0,106,0,232,196,160,8,0,255,37,4,192,72,0,232,185,160,8,65,0,0,0,4,0,0,0,0,0,0,0,0,2,0
a01dd867bc1b942ee08985f3a4cd5b95,-1,521,4.94655603544228,0.0,4.94655603544228,2.8332488548447166,3.145005581181563,2.4980525122002697,1.5805228603852175,96,6.087171417180899,5.131358637328586,0.9558127798523133,6.077215034057438,6.087171417180899,0.009516438230510486,0.09755223334455489,8,84,1,1,94,0,2,0,2,21,0,21,653,2,655,-1,-1,85,139,236,106,255,104,152,49,64,0,104,48,38,64,0,100,161,0,0,0,0,80,100,137,37,0,0,0,0,131,236,104,83,86,87,137,101,232,51,219,137,93,252,106,2,255,21,248,48,64,0,89,131,13,24,69,64,0,255,131,13,28,69,64,129,0,0,0,0,0,0,0,0,0,0,0,0,5,0
a04acbc1423fe79b180bf3913e18bcb5,-1,758,5.922645138635372,1.722911094728861,4.199734043906511,4.61025766080781,5.922645138635372,2.646569274233234,1.6268279792999731,446,6.014172159908375,3.8767719211101133,2.1374002387982616,6.000630153045811,6.014172159908375,0.015785900728577384,0.1256419544920302,4,62,4,5,117,0,36,3,39,3,0,3,755,1,756,-1,-1,85,139,236,106,255,104,176,119,66,0,104,144,168,64,0,100,161,0,0,0,0,80,100,137,37,0,0,0,0,131,196,164,83,86,87,137,101,232,255,21,184,242,67,0,163,240,204,67,0,161,240,204,67,0,193,232,8,37,255,0,0,0,163,252,119,0,0,0,0,0,0,0,0,0,0,0,0,5,0
a03770daced6afef7e3ba09a6b6eb123,-1,7716,7.829262876176684,0.6559723895514427,7.173290486625241,3.8707316730626897,3.9398817981908136,0.18886043919782305,0.4345807625721864,7502,7.718722540803683,1.7692885474336462,5.949433993370037,1.7700815938203924,1.7692885474336462,0.0047181771316271584,0.06868898843065865,2,3,1,0,65,0,2,1,3,1,0,1,265,3,268,-1,-1,141,21,184,33,81,0,185,107,58,0,0,232,136,246,16,0,255,37,12,16,81,0,106,64,104,0,48,0,0,104,0,96,2,0,106,0,232,111,246,16,0,255,37,4,16,81,0,232,100,246,16,0,255,37,0,16,81,0,232,95,126,16,0,233,65,0,0,0,4,0,0,0,0,0,0,0,0,2,0
a03d7ba00329c8be256fd2834939243f,-1,2369,6.902541518841507,5.129185036706813,1.7733564821346937,6.397839434166213,6.508135117625049,0.17460161183187378,0.41785357702414583,2143,6.539304305407294,6.523694287499227,0.015610017908066709,6.539297021217883,6.539304305407294,1.1370632715359932e-07,0.0003372036879300096,5,38,3,5,174,5,11,3,14,9,0,9,722,4,726,-1,-1,83,81,82,86,200,132,0,0,129,237,130,0,0,0,199,69,254,0,0,0,0,232,25,5,0,0,81,82,200,28,1,0,255,21,80,33,66,0,141,69,244,80,255,21,44,33,66,0,141,69,252,80,141,69,232,80,106,1,106,1,141,133,228,254,177,0,0,0,6,0,0,0,0,0,0,12,0,10,0
a069f494a782466d7012b0efd0e3eeae,-1,214995,7.571821619624291,3.048417387850529,4.523404231773762,4.9967595937920075,4.922113739902552,0.052810877686068576,0.2298061741687298,213113,6.675248351711052,6.437622237850178,0.23762611386087418,6.659338182495406,6.6634228304063585,0.00011535174162189944,0.010740192811206856,18,527,4,4,147,0,72,0,72,18,0,18,1024,3,1027,-1,-1,232,200,208,0,0,85,139,236,131,236,20,131,101,244,0,131,101,248,0,161,80,253,59,1,86,87,191,78,230,64,187,190,0,0,255,255,59,199,116,13,161,80,253,59,1,86,87,191,78,230,64,187,190,0,0,255,255,59,199,116,13,141,69,244,203,0,0,0,0,0,0,0,0,0,0,0,0,14,0
