name,write_execute_size,number_total_entropy,max_total_entropy,min_total_entropy,delta_total_entropy,mean_total_entropy,median_total_entropy,variance_total_entropy,stdev_total_entropy,number_oep_section_entropy,max_oep_section_entropy,min_oep_section_entropy,delta_oep_section_entropy,mean_oep_section_entropy,median_oep_section_entropy,variance_oep_section_entropy,stdev_oep_section_entropy,initial_iat_dll,initial_iat_func,initial_iat_malicious_func,reconstructed_iat_dll,reconstructed_iat_func,reconstructed_iat_malicious_func,initial_iat_called_generic_func,initial_iat_called_malicious_func,initial_iat_called_all_func,dynamic_called_generic_func,dynamic_called_malicious_func,dynamic_called_all_func,discovered_called_generic_func,discovered_called_malicious_func,discovered_called_all_func,number_add_exec_permission,number_add_write_permisison,executed_byte_0,executed_byte_1,executed_byte_2,executed_byte_3,executed_byte_4,executed_byte_5,executed_byte_6,executed_byte_7,executed_byte_8,executed_byte_9,executed_byte_10,executed_byte_11,executed_byte_12,executed_byte_13,executed_byte_14,executed_byte_15,executed_byte_16,executed_byte_17,executed_byte_18,executed_byte_19,executed_byte_20,executed_byte_21,executed_byte_22,executed_byte_23,executed_byte_24,executed_byte_25,executed_byte_26,executed_byte_27,executed_byte_28,executed_byte_29,executed_byte_30,executed_byte_31,executed_byte_32,executed_byte_33,executed_byte_34,executed_byte_35,executed_byte_36,executed_byte_37,executed_byte_38,executed_byte_39,executed_byte_40,executed_byte_41,executed_byte_42,executed_byte_43,executed_byte_44,executed_byte_45,executed_byte_46,executed_byte_47,executed_byte_48,executed_byte_49,executed_byte_50,executed_byte_51,executed_byte_52,executed_byte_53,executed_byte_54,executed_byte_55,executed_byte_56,executed_byte_57,executed_byte_58,executed_byte_59,executed_byte_60,executed_byte_61,executed_byte_62,executed_byte_63,GetProcAddress,LoadLibrary,Exitprocess,GetModuleHandle,VirtualAlloc,VirtualFree,GetModuleFilename,CreateFile,RegQueryValueEx,MessageBox,GetCommandLine,VirtualProtect,GetStartupInfo,GetStdHandle,RegOpenKeyEx
527124259e0544f94d4e267df568d9a59d84d9ef,-1,5056,7.0170674644042,3.3937011846246796,3.6233662797795207,6.066279042085625,6.0909083048500055,0.23239852434461472,0.48207730121279796,4775,7.145076980861046,5.783909991766508,1.3611669890945377,6.163639015732942,6.0909083048500055,0.06730648299417376,0.2594349301735866,4,238,0,4,192,2,8,0,8,39,2,41,499,3,502,-1,-1,85,139,236,131,236,112,96,137,45,52,219,65,0,199,69,196,0,0,0,0,199,69,176,2,0,0,128,199,69,248,0,128,213,225,199,69,252,159,231,168,1,161,164,200,65,0,163,48,219,65,0,141,77,172,81,141,85,168,82,141,69,248,80,255,895,0,0,0,9,0,0,0,0,0,0,0,0,2,0
2ef4dc45af97ec7b04e95a39be15e66d95b95401,-1,2434,6.171825121195977,4.894353078814801,1.2774720423811763,4.921186352253521,4.9289447576493135,0.0010855050813873798,0.03294700413372026,1995,5.660616526013897,3.243784201806717,2.4168323242071805,5.659041894236349,5.660616526013897,0.0031901285606282604,0.05648122308013753,6,34,2,1,72,0,10,2,12,7,0,7,0,0,0,-1,-1,106,11,186,29,9,0,0,82,186,151,12,0,0,82,106,111,186,29,9,0,0,82,186,151,12,0,0,82,106,111,186,29,9,0,0,82,104,137,186,65,0,255,21,243,183,74,0,137,69,242,104,151,12,0,0,186,28,9,0,0,82,163,137,186,96,0,0,0,12,0,0,0,0,0,0,0,0,0,0
aa46a39e5ccc2929d21091add990b4349e2d00fc,442,6579,6.412469337257491,3.7525901193910927,2.6598792178663984,6.25537536903038,6.328916781540802,0.15664048610188364,0.3957783295000923,6350,6.5219054594753345,5.472798363768166,1.0491070957071686,6.52135604900765,6.5219054594753345,0.0003753598252884991,0.019374205152431392,2,93,2,3,148,2,37,3,40,23,1,24,0,0,0,-1,-1,232,137,33,0,0,139,255,85,139,236,131,236,16,161,116,192,65,0,131,101,248,0,131,101,252,0,83,87,191,78,230,64,187,187,0,0,255,255,59,199,116,13,161,116,192,65,0,131,101,248,0,131,101,252,0,83,87,191,78,230,64,187,187,0,149,0,0,0,4,0,0,0,0,0,0,0,0,3,0
4f1ebeef5738735b6c57c57bc4d3ada0ec20960d,-1,397,7.874143890546157,0.14692931143280732,7.727214579113349,1.290621440965955,1.6797299917099406,0.5680787927580565,0.7537100190113281,1,7.732123736833844,7.732123736833844,0.0,-1.0,-1.0,-1.0,-1.0,3,31,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,232,161,0,0,0,85,139,236,129,236,16,1,0,0,141,84,36,56,131,74,4,255,131,34,0,106,1,82,129,253,140,79,20,0,117,1,255,21,68,48,66,0,131,224,254,117,1,141,76,36,48,106,16,81,104,1,16,0,0,54,255,21,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
839b81510170926bd601019bc9127f27ad233a07,207,1553,7.2058116428116055,4.32807386525814,2.877737777553466,5.30933363804324,5.497319781411135,0.1546307516362246,0.39323116819019394,1256,6.558075406186182,6.405579855325893,0.152495550860289,6.526142350053874,6.526598884805703,5.5287535472948474e-05,0.007435558854110999,3,75,2,5,147,0,0,0,0,62,0,62,706,4,710,-1,-1,232,136,18,0,0,85,139,236,131,236,20,161,0,240,15,0,131,101,244,0,131,101,248,0,86,87,191,78,230,64,187,190,0,0,255,255,59,199,116,13,161,0,240,15,0,131,101,244,0,131,101,248,0,86,87,191,78,230,64,187,190,0,0,255,273,0,0,0,36,0,0,0,0,0,0,5,0,18,0
ae2b4553dfcbe300f10b3af23a09797c13e23b75,0,4101,7.7508859435947715,5.945067950885961,1.8058179927088105,7.571562559160075,7.667399510701184,0.1340551525222777,0.36613542920929915,3852,7.945900810957625,7.846041947842293,0.09985886311533143,7.943523245425536,7.9435182429496045,2.5395187218333877e-06,0.001593586747508082,5,318,2,0,65,0,20,1,21,1,0,1,0,0,0,-1,-1,85,139,236,131,228,248,131,236,76,83,86,87,255,21,0,21,66,0,106,2,94,106,0,255,21,4,21,66,0,255,53,180,22,66,0,255,21,184,20,66,0,102,133,192,15,133,32,12,0,0,70,129,254,3,2,0,0,15,130,214,255,255,255,106,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
940a3bce4ef37a4ac63fae45aeeb93b7a0eb6545,147,7141,7.5334559531576515,3.0701342850836344,4.463321668074017,5.9930279682282235,5.952907956824904,0.38444145202983965,0.6200334281551597,6937,5.662106466116334,5.315398294977315,0.346708171139019,5.338171497169322,5.315398294977315,0.007374159253472308,0.08587292503153894,2,7,1,6,195,2,6,1,7,67,1,68,568,3,571,-1,-1,85,139,236,129,236,112,1,0,0,96,137,45,160,124,65,0,199,133,188,254,255,255,0,0,0,0,141,133,216,254,255,255,80,104,25,0,2,0,106,0,104,108,32,64,0,104,2,0,0,128,255,21,0,124,65,0,137,45,160,124,65,0,199,133,890,0,0,0,12,0,0,0,0,0,0,0,0,2,0
445724385f1814daf83df07d335e299847de1f16,-1,447,6.00908429600353,3.114027945559399,2.895056350444131,4.713020940126885,5.245861604595639,0.8605431124314512,0.9276546299304775,31,6.565322822897388,6.516781962224359,0.048540860673028874,6.518347796439618,6.516781962224359,7.600694047994843e-05,0.00871819594181895,4,111,4,1,71,0,56,3,59,7,0,7,429,1,430,-1,-1,232,210,87,0,0,139,255,85,139,236,131,236,16,161,8,32,65,0,131,101,248,0,131,101,252,0,83,87,191,78,230,64,187,187,0,0,255,255,59,199,116,13,161,8,32,65,0,131,101,248,0,131,101,252,0,83,87,191,78,230,64,187,187,0,80,0,0,0,0,0,0,0,0,0,0,0,0,5,0
95fe0b5ac0ea478fb8d49cebf2ac3f274b3f36b9,500,2891,7.9972822586149555,1.846949463026025,6.15033279558893,3.112313930773194,2.849195590446019,0.8405567647064436,0.9168188287259613,2786,6.655569484165864,5.727082096834362,0.9284873873315016,6.5786605068970285,6.655569484165864,0.02661973046442962,0.16315554071017516,7,106,1,4,110,0,70,1,71,52,0,52,792,1,793,-1,-1,233,38,250,255,255,129,236,132,0,0,0,83,85,86,87,131,207,255,87,51,219,104,64,173,0,1,137,92,36,24,136,29,224,169,0,1,137,61,36,173,0,1,199,5,168,165,0,1,0,0,0,128,255,21,0,33,0,1,136,29,224,169,0,1,145,0,0,0,0,0,0,0,0,0,0,0,0,5,0
73210def8ade387b75f15aade6138da3ee3b5f94,47,2730,6.5404130800112705,2.767501315097249,3.7729117649140216,5.488980302785721,5.682773375059521,0.4409494020263749,0.6640402111516853,2387,6.178152885770993,6.0092909159214365,0.16886196984955681,6.0411619656423134,6.036668702057872,0.000617731871576864,0.024854212350763884,5,113,5,3,125,0,78,4,82,48,0,48,937,4,941,-1,-1,85,139,236,131,196,164,83,86,87,51,192,137,69,196,137,69,192,137,69,164,137,69,208,137,69,200,137,69,204,137,69,212,137,69,216,137,69,236,184,176,82,65,0,232,172,3,255,255,83,139,216,51,192,163,180,119,65,0,106,0,232,43,255,255,136,0,0,0,8,10,0,0,0,0,0,12,0,2,0
