name,dll1,dll2,dll3,dll4,dll5,dll6,dll7,dll8,checksum,image_base,base_of_code,major_version,minor_version,image_size,code_size,headers,size_InitializedData,size_UninitializedData,size_StackReserve,size_StackCommit,section_alignement,standard_section,non_standard_section,ratio_standard_section,x_section,w_section,wx_section,rx_section,rw_section,wrx_section,code_not_exec,exec_not_code,no_code_section,ep_not_in_code,ep_not_in_standard,ep_not_in_exec,ratio_data_virt_size,zero_phys_size,virt_greater_data_size,max_ratio_data_virt,min_ratio_data_virt,data_addres_not_align,entropy_code,entropy_data,entropy_rsrc,entropy_header,entropy_file,entropy_ep,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,nb_dll_imported,nb_func_IDT,nb_malicious_api,ratio_malicious_func,nb_func_IAT,debug_dir,nb_rsrc
0010b7ec1d9f4bea9f2ca750de9467dc81b75cbb2b4c82f4843e863615409f1e,1,0,1,0,0,0,0,1,0,4194304,4096,6,0,3543040,153600,1536,2672128,0,1048576,4096,4096,4,1,0.8,1,1,0,1,1,0,0,0,0,0,0,0,1.003,0,1,1.019,0.999,0,6.318,6.927,-1,3.836,6.202,6.318,232,246,5,0,0,233,116,254,255,255,85,139,236,139,69,8,86,139,72,60,3,200,15,183,65,20,141,81,24,3,208,15,183,65,6,107,240,40,3,242,59,214,116,25,139,77,12,59,74,12,114,10,139,66,8,3,66,12,59,200,114,12,131,194,2,78,5,0.064,78,1,-1
0013a2d85f81640d17e8980e7eceb3e27711f9f1d9b008e9fe64eddfd7e3e2c6,1,0,1,0,1,0,0,1,0,4194304,8192,4,0,819200,784384,512,12288,0,1048576,4096,8192,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,42.667,1,0,7.456,-1,7.529,2.816,7.401,7.456,255,37,0,32,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,26
009f0391a6ad93e17b7c8719dcbdb50d46bc5cb6afe8af2a60e00f4bcb41cf3e,1,0,1,0,0,0,0,1,0,4194304,4096,6,1,16154624,9536000,1536,305152,0,2097152,4096,4096,5,1,0.833,1,2,0,1,2,0,0,0,0,0,0,0,1,0,1,128,0.414,0,6.033,5.268,-1,2.827,5.841,6.033,233,59,195,255,255,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,156,252,72,129,236,224,0,0,0,72,137,60,36,72,137,116,36,8,72,137,108,36,16,72,137,92,36,24,76,137,100,36,1,39,7,0.179,1,1,-1
00bd5a737b4ef0194fe438d108ddfb902655eebc30810182a25f3468644d43bc,1,0,1,0,1,0,0,1,0,4194304,4096,4,0,249856,26624,1024,141824,2048,1048576,4096,4096,4,1,0.8,1,2,0,1,2,0,0,0,0,0,0,0,1.015,1,2,1.057,0,0,6.168,4.056,4.536,3.284,6.11,6.168,85,139,236,129,236,244,3,0,0,83,86,87,106,32,95,51,219,104,1,128,0,0,137,93,236,199,69,252,48,162,64,0,137,93,240,255,21,200,128,64,0,139,53,204,128,64,0,141,133,192,254,255,255,80,137,157,212,254,255,255,137,93,212,137,7,164,3,0.018,13,1,40
0101030ff068e78bbee5ada477f31031448d6aac25cd4e087c0148c3b2469fa7,1,0,1,0,0,0,0,1,625049,4194304,4096,10,0,638976,25600,1024,589824,0,262144,8192,4096,5,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1.009,0,2,1.172,0.076,0,6.039,4.895,7.839,3.817,7.663,6.039,232,240,6,0,0,233,0,0,0,0,106,88,104,184,114,64,0,232,146,7,0,0,51,219,137,93,224,141,69,152,80,255,21,132,161,64,0,137,93,252,100,161,24,0,0,0,139,112,4,139,251,186,172,136,64,0,139,206,51,192,240,15,177,10,8,153,8,0.052,14,0,190
0108e07d10e0ef3a092c1490e3570d4740e2906178f2f997458a3e2a89cba33d,1,0,1,0,1,0,0,1,0,4194304,8192,4,0,73728,48128,512,2048,0,1048576,4096,8192,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1.003,0,0,42.667,1.003,0,4.867,-1,4.099,2.69,3.955,4.867,255,37,0,32,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,14
01b0afd5519e0f4b6602dcb0387e414fa65ece3a6b7338dc2df10abf2d1c5a01,1,0,1,0,1,0,0,1,0,4194304,8192,4,0,712704,687616,512,8704,0,1048576,4096,8192,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,42.667,1,0,7.365,-1,7.263,2.823,7.329,7.365,255,37,0,32,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,26
01c31af7cd3c53adf52595a2e1a70b711e5f774bd80fe529fba299e15e31bf84,0,0,0,0,0,0,0,0,0,4194304,4096,4,0,172032,122880,1024,21504,0,1048576,16384,4096,6,3,0.667,0,6,0,0,5,0,0,0,1,1,1,1,1,0,0,1,1,0,-1,-1,2.197,3.251,5.305,6.268,116,4,117,2,1,235,96,116,4,117,2,235,172,232,0,0,0,0,116,7,117,5,232,119,0,51,103,95,129,239,18,16,64,0,141,151,0,16,64,0,139,159,59,20,64,0,43,211,116,4,117,2,255,235,141,159,0,16,64,0,139,135,55,20,0,-1,0,0,-1,1,1
01cc57094a915b6ab00016d9c2e94db06271aab164bf18466d3ae6003c826365,0,0,0,0,1,0,0,0,0,4194304,24576,4,0,32768,4096,4096,4096,20480,1048576,4096,4096,1,2,0.333,2,3,2,2,3,2,0,1,1,1,1,0,0.75,1,3,0.75,0,0,-1,-1,2.787,3.616,1.275,7.45,96,190,0,96,64,0,141,190,0,176,255,255,87,235,11,144,138,6,70,136,7,71,1,219,117,7,139,30,131,238,252,17,219,114,237,184,1,0,0,0,1,219,117,7,139,30,131,238,252,17,219,17,192,1,219,115,239,117,9,139,30,131,238,252,5,9,6,0.667,-1,1,13
02a05ebf9bc6cf8680de0dac633715ba2df54ed6c9bf2df23cfb5beed9a2731a,0,0,0,0,0,0,0,0,0,4194304,4096,4,0,176128,123392,1024,21504,0,1048576,16384,4096,6,3,0.667,0,6,0,0,5,0,0,0,1,1,1,1,1,0,0,1,1,0,-1,-1,2.215,3.265,5.234,6.176,116,4,117,2,1,235,96,116,4,117,2,235,172,232,0,0,0,0,116,7,117,5,232,119,0,51,103,95,129,239,18,16,64,0,141,151,0,16,64,0,139,159,59,20,64,0,43,211,116,4,117,2,255,235,141,159,0,16,64,0,139,135,55,20,0,-1,0,0,-1,1,1
