name,dll1,dll2,dll3,dll4,dll5,dll6,dll7,dll8,checksum,image_base,base_of_code,major_version,minor_version,image_size,code_size,headers,size_InitializedData,size_UninitializedData,size_StackReserve,size_StackCommit,section_alignement,standard_section,non_standard_section,ratio_standard_section,x_section,w_section,wx_section,rx_section,rw_section,wrx_section,code_not_exec,exec_not_code,no_code_section,ep_not_in_code,ep_not_in_standard,ep_not_in_exec,ratio_data_virt_size,zero_phys_size,virt_greater_data_size,max_ratio_data_virt,min_ratio_data_virt,data_addres_not_align,entropy_code,entropy_data,entropy_rsrc,entropy_header,entropy_file,entropy_ep,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,nb_dll_imported,nb_func_IDT,nb_malicious_api,ratio_malicious_func,nb_func_IAT,debug_dir,nb_rsrc
7za.exe,0,0,0,0,0,0,0,0,0,4194304,4096,4,0,516096,398336,1024,103936,0,1048576,4096,4096,4,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1.001,0,1,1.049,0.458,0,6.407,3.69,3.165,3.876,5.864,6.407,85,139,236,106,255,104,128,70,70,0,104,128,106,69,0,100,161,0,0,0,0,80,100,137,37,0,0,0,0,131,236,16,83,86,87,137,101,232,255,21,104,49,70,0,51,210,138,212,137,21,216,91,71,0,139,200,129,225,255,0,0,0,137,13,4,126,11,0.087,113,1,8
7z.exe,0,0,0,0,0,0,0,0,0,4194304,4096,4,0,98304,65536,4096,28672,0,1048576,4096,4096,4,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1.046,0,0,4.303,1.046,0,5.969,3.265,0.988,3.817,5.377,5.969,85,139,236,106,255,104,40,21,65,0,104,226,236,64,0,100,161,0,0,0,0,80,100,137,37,0,0,0,0,131,236,32,83,86,87,137,101,232,131,101,252,0,106,1,255,21,12,17,65,0,89,131,13,176,98,65,0,255,131,13,180,98,65,0,6,108,6,0.056,3,1,8
7zFM.exe,0,0,0,0,0,0,0,0,0,4194304,4096,4,0,249856,155648,1024,82432,0,1048576,4096,4096,4,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1.003,0,1,1.009,0.796,0,6.164,4.051,3.851,4.147,5.646,6.164,85,139,236,106,255,104,192,127,66,0,104,76,46,66,0,100,161,0,0,0,0,80,100,137,37,0,0,0,0,131,236,104,83,86,87,137,101,232,51,219,137,93,252,106,2,255,21,64,114,66,0,89,131,13,40,35,67,0,255,131,13,44,35,67,11,235,9,0.038,7,1,248
7zFMn.exe,0,0,0,0,0,0,0,0,0,4194304,4096,4,0,237568,145408,1024,80384,0,1048576,4096,4096,4,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1.002,0,1,1.011,0.793,0,6.153,3.934,3.85,4.12,5.613,6.153,85,139,236,106,255,104,104,95,66,0,104,92,13,66,0,100,161,0,0,0,0,80,100,137,37,0,0,0,0,131,236,104,83,86,87,137,101,232,51,219,137,93,252,106,2,255,21,136,81,66,0,89,131,13,200,245,66,0,255,131,13,204,245,66,11,215,6,0.028,9,1,248
accesschk.exe,1,0,1,0,0,0,0,1,814043,4194304,4096,5,1,794624,116224,1024,667136,0,1048576,4096,4096,5,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1.004,0,1,1.05,0.949,0,6.284,0.589,4.702,3.756,4.593,6.284,232,166,134,0,0,233,123,254,255,255,85,139,236,129,236,40,3,0,0,161,128,29,69,0,51,197,137,69,252,131,125,8,255,87,116,9,255,117,8,232,16,83,0,0,89,131,165,224,252,255,255,0,141,133,228,252,255,255,106,76,106,0,80,232,8,167,3,0.018,56,1,24
AccessEnum.exe,0,0,0,0,0,0,0,0,224466,4194304,4096,4,0,172032,28672,4096,139264,0,1048576,4096,4096,4,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1.008,0,1,1.155,0.977,0,6.033,5.27,3.922,4.076,5.821,6.033,85,139,236,106,255,104,144,145,64,0,104,62,122,64,0,100,161,0,0,0,0,80,100,137,37,0,0,0,0,131,236,104,83,86,87,137,101,232,51,219,137,93,252,106,2,255,21,88,129,64,0,89,131,13,44,106,66,0,255,131,13,48,106,66,12,231,3,0.013,30,0,140
AddInProcess32.exe,1,0,1,0,1,0,0,0,92853,4194304,8192,4,0,49152,20480,4096,8192,0,1048576,4096,8192,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1.108,0,0,341.333,1.108,0,4.706,-1,1.916,2.787,4.161,4.706,255,37,0,32,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,14
AddInProcess.exe,1,0,1,0,1,0,0,0,70158,4194304,8192,4,0,49152,20480,4096,8192,0,1048576,4096,8192,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1.109,0,0,341.333,1.109,0,4.702,-1,1.908,2.769,4.157,4.702,255,37,0,32,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,14
AddInUtil.exe,1,0,1,0,1,0,0,0,73608,4194304,8192,4,0,49152,20480,4096,8192,0,1048576,4096,8192,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1.125,0,0,341.333,1.125,0,4.604,-1,1.892,2.783,4.108,4.604,255,37,0,32,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,14
ADExplorer.exe,0,0,0,0,0,0,0,1,529413,4194304,4096,5,0,491520,323584,1024,148480,0,1048576,4096,4096,4,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1.001,0,1,1.006,0.829,0,5.939,2.612,4.029,4.043,5.639,5.939,232,186,119,0,0,233,120,254,255,255,117,1,195,85,139,236,131,236,0,80,82,83,86,87,106,0,255,117,4,232,222,122,0,0,89,89,95,94,91,90,88,139,229,93,195,139,255,85,139,236,86,139,241,133,246,116,33,133,210,116,29,83,139,93,14,313,13,0.042,6,0,316
